<org.apache.jackrabbit.core.lock.SessionLockManager.lock, org.apache.jackrabbit.core.lock.SessionLockManager.unlock>
<com.linecorp.armeria.client.pool.KeyedPool.acquire, com.linecorp.armeria.client.pool.KeyedPool.release>
<com.xtremelabs.robolectric.shadows.ShadowSQLiteDatabase.update, com.xtremelabs.robolectric.shadows.ShadowSQLiteDatabase.close>
<io.socket.engineio.client.Options.open, io.socket.engineio.client.Options.close>
<me.prettyprint.cassandra.connection.HOpTimer.start, me.prettyprint.cassandra.connection.HOpTimer.stop>
<org.jboss.as.controller.services.path.PathEventContextImpl.start, org.jboss.as.controller.services.path.PathEventContextImpl.stop>
<com.netflix.dyno.connectionpool.Connection.open, com.netflix.dyno.connectionpool.Connection.close>
<org.apache.activemq.artemis.api.core.management.ActiveMQServerControl.startEmbeddedWebServer, org.apache.activemq.artemis.api.core.management.ActiveMQServerControl.stopEmbeddedWebServer>
<io.netty.channel.ChannelOutboundHandler.connect, io.netty.channel.ChannelOutboundHandler.close>
<com.netflix.conductor.core.sync.local.LocalOnlyLock.acquireLock, com.netflix.conductor.core.sync.local.LocalOnlyLock.releaseLock>
<com.bumptech.glide.load.engine.cache.WriteLockPool.acquire, com.bumptech.glide.load.engine.cache.WriteLockPool.release>
<com.espertech.esper.dataflow.ops.ConsoleOpEventPropertyRenderer.initialize, com.espertech.esper.dataflow.ops.ConsoleOpEventPropertyRenderer.close>
<org.jdiameter.client.impl.transport.tcp.netty.Event.connect, org.jdiameter.client.impl.transport.tcp.netty.Event.disconnect>
<com.sun.enterprise.transaction.jts.ReadWriteLock.acquireWriteLock, com.sun.enterprise.transaction.jts.ReadWriteLock.releaseWriteLock>
<jakarta.enterprise.context.control.RequestContextController.activate, jakarta.enterprise.context.control.RequestContextController.deactivate>
<org.apache.catalina.session.BaseSessionLocker.lockSession, org.apache.catalina.session.BaseSessionLocker.unlockSession>
<org.jruby.runtime.load.SearchState.lock, org.jruby.runtime.load.SearchState.unlock>
<com.ning.billing.analytics.api.DefaultAnalyticsService.registerForNotifications, com.ning.billing.analytics.api.DefaultAnalyticsService.unregisterForNotifications>
<org.glassfish.deployapi.DeploymentFacilityModuleWork.start, org.glassfish.deployapi.DeploymentFacilityModuleWork.stop>
<act.controller.OutputCache.open, act.controller.OutputCache.close>
<org.conscrypt.AbstractConscryptSocket.connect, org.conscrypt.AbstractConscryptSocket.close>
<org.frameworkset.web.socket.handler.WebSocketHttpRequestHandler.start, org.frameworkset.web.socket.handler.WebSocketHttpRequestHandler.stop>
<com.yammer.dropwizard.lifecycle.ExecutorServiceManager.start, com.yammer.dropwizard.lifecycle.ExecutorServiceManager.stop>
<com.netflix.curator.x.zkclientbridge.CuratorZKClientBridge.create, com.netflix.curator.x.zkclientbridge.CuratorZKClientBridge.close>
<org.batoo.jpa.jdbc.AbstractDataSource.open, org.batoo.jpa.jdbc.AbstractDataSource.close>
<com.lowagie.text.Document.open, com.lowagie.text.Document.close>
<org.jboss.as.txn.service.ArjunaTransactionManagerService.start, org.jboss.as.txn.service.ArjunaTransactionManagerService.stop>
<com.orientechnologies.orient.server.distributed.impl.lock.OLockManagerImpl.lock, com.orientechnologies.orient.server.distributed.impl.lock.OLockManagerImpl.release>
<org.elasticsearch.common.util.concurrent.KeyLock.acquire, org.elasticsearch.common.util.concurrent.KeyLock.release>
<com.google.cloud.compute.v1.ListFixedSizeCollection.create, com.google.cloud.compute.v1.ListFixedSizeCollection.close>
<org.springframework.mock.jndi.SimpleNamingContextBuilder.activate, org.springframework.mock.jndi.SimpleNamingContextBuilder.deactivate>
<com.ibm.icu.impl.duration.impl.XMLRecordReader.open, com.ibm.icu.impl.duration.impl.XMLRecordReader.close>
<se.cgbystrom.netty.thrift.TNettyTransport.open, se.cgbystrom.netty.thrift.TNettyTransport.close>
<org.jboss.as.ejb3.remote.http.EJB3RemoteHTTPService.start, org.jboss.as.ejb3.remote.http.EJB3RemoteHTTPService.stop>
<com.yahoo.jdisc.core.ActivatorProxy.start, com.yahoo.jdisc.core.ActivatorProxy.stop>
<com.microsoft.azure.sdk.iot.deps.transport.amqp.ReactorRunner.open, com.microsoft.azure.sdk.iot.deps.transport.amqp.ReactorRunner.close>
<com.google.common.util.concurrent.CycleDetectingReentrantWriteLock.lock, com.google.common.util.concurrent.CycleDetectingReentrantWriteLock.unlock>
<com.baidu.disconf.core.common.zookeeper.inner.ConnectionWatcher.connect, com.baidu.disconf.core.common.zookeeper.inner.ConnectionWatcher.close>
<com.github.tlrx.elasticsearch.test.provider.ClientProvider.open, com.github.tlrx.elasticsearch.test.provider.ClientProvider.close>
<com.netflix.servo.monitor.BasicStopwatch.start, com.netflix.servo.monitor.BasicStopwatch.stop>
<com.google.common.util.concurrent.CycleDetectingReentrantWriteLock.lock, com.google.common.util.concurrent.CycleDetectingReentrantWriteLock.unlock>
<fish.payara.concurrent.monitoring.ManagedExecutorServiceStatsProvider.register, fish.payara.concurrent.monitoring.ManagedExecutorServiceStatsProvider.unregister>
<org.glassfish.osgi.felixwebconsoleextension.FelixWebConsoleExtensionActivator.start, org.glassfish.osgi.felixwebconsoleextension.FelixWebConsoleExtensionActivator.stop>
<org.springframework.integration.aws.lock.DynamoDbLock.lock, org.springframework.integration.aws.lock.DynamoDbLock.unlock>
<org.glassfish.common.util.admin.RefCounterLock.lock, org.glassfish.common.util.admin.RefCounterLock.release>
<ch.qos.logback.core.net.server.AbstractServerSocketAppender.start, ch.qos.logback.core.net.server.AbstractServerSocketAppender.stop>
<com.sun.enterprise.admin.monitor.registry.MonitoringRegistry.registerPWCHttpServiceStats, com.sun.enterprise.admin.monitor.registry.MonitoringRegistry.unregisterPWCHttpServiceStats>
<com.sun.jts.CosTransactions.Queue.acquireWriteLock, com.sun.jts.CosTransactions.Queue.releaseWriteLock>
